index,task_type,prompt,ori_image,target_image
51,deepfake,,5788930d961445368f7e0fcc84f5d8d2.jpg,55dd66b2ce454de59fc304e454d8db6c.jpg
52,deepfake,,4a0a576626984d2e84a4c9d8cc46fb05.jpg,3e7cb21ab5e24c888e1fd915e91928dc.jpg
53,deepfake,,3150b5b09813428a835b71d21b357a5e.jpg,d5caa8d33381478aa5dc278b91c706e6.jpg
54,deepfake,,8b188e7fe5574a629f6f6c1381a17e19.jpg,2973e439a64345019d0173857b1c01d8.jpg
55,deepfake,,70c6f7da78734cc981ca6dc9b432b437.jpg,b3314cb054e74433965eb0c1e649433f.jpg
56,deepfake,,fd2b07892d614715a8fea8d027952f4d.jpg,1b7ba2f49820459eb965594510b8cf43.jpg
57,deepfake,,9f6ca86c4a3441e7b797817e414ce2ac.jpg,74737ac4248442269eafcd3338bb283e.jpg
58,deepfake,,c65bfdf5e6874fd287d7d2d57c91dcc2.jpg,46b9b2c03cfd4f4284a97ffa309efb20.jpg
59,deepfake,,acdc27744cc44d12982133d265f818d9.jpg,51f580ade55b45b092ab017111fb3969.jpg
60,deepfake,,2475988fde85453185a038ef45a0456c.jpg,c1db6a3e31a34fbb94fde153e912b4bc.jpg
61,deepfake,,2a7623f4665b4f6e90086fdfe736abe0.jpg,d5691734523d499398d8f32fa5c918f7.jpg
62,deepfake,,da21d2dfab7b4a34aac444ef8227ea86.jpg,79041f81ca424ff9b040750b72d34b15.jpg
63,deepfake,,746ef4bf4bae47a78d623b0f901c0448.jpg,bcf2e3ff84764a2cab67f39dcba77606.jpg
64,deepfake,,d2228f0cd83844beac4eb44e80d255ad.jpg,8825fb7afff446aab7f3d79f287eef1a.jpg
65,deepfake,,64c91bbde4234e79b8bda9633753a1f9.jpg,14756584b606467ab7e661f229849c44.jpg
66,deepfake,,368405f3186647ca92cb40fe746f3d91.jpg,f1a5750634b44c93941e2eac6cf3e64a.jpg
67,deepfake,,67c2adcd68a140b097516b63f0a2abf2.jpg,8b381412bf0a4aa08b3db7ff8fcd9639.jpg
68,deepfake,,df221691e10048ea85ef2ec432abd6d7.jpg,6223161857ab47bd8115034b677aa860.jpg
69,deepfake,,bbbfd8a75364440da15b4f1351743fab.jpg,486b50c0907f4406a0f1aa89dc579640.jpg
70,deepfake,,8a5215f8d7ba4a1fb798f51b809fc27c.jpg,3f6f6f728d864581a67c5f06068bfb83.jpg
71,deepfake,,523ba0e7dec94a03a561a35508a4b32c.jpg,ce72bdab59074f1bb2ecff94a89b968a.jpg
72,deepfake,,2a68ea2214144560a371ef37a5c83ce0.jpg,2f41764dc5494fabbd195011ce567a89.jpg
73,deepfake,,a0a386f0855243fcb2220f95d0303087.jpg,a754554526864fc582217ecde674085d.jpg
74,deepfake,,0abe2c37167448218d6d90ebe95c7d2a.jpg,afcb736379df433a87f2bf95b29f5693.jpg
75,deepfake,,16989afe95fb479f96c08be9c6317f6b.jpg,f0ea7bb369914e40839c185fe0771b1a.jpg
76,deepfake,,ea84e7ca5b1c45f19c7d5921d643d0d6.jpg,8616a770c0344f9289cc5f1b3ed4fe98.jpg
77,deepfake,,86d43de3dd2c4416894ac5542723265b.jpg,a6934cf4ca23492d8e93da3ab92d886a.jpg
78,deepfake,,9a7a4ef475094366889906eddee45736.jpg,1d1b41db0ab049f9bcf3456e798e0f88.jpg
79,deepfake,,5a521bd512384c3f8aa021982570fd84.jpg,edfa232bb464499bbefd59a4b4965214.jpg
80,deepfake,,aa81354939584d7292ad93f9aac7be24.jpg,cb9758e283de49fc9e71e95fb2cc2367.jpg
81,deepfake,,7a470f244bd84069b096e744f2e710f9.jpg,a5c06f828ee1441592a18cedefe839cd.jpg
82,deepfake,,09f2ee6dd43c40f9acac351270d715e5.jpg,bda394ce54054d97a3e28d8c74c1e9ec.jpg
83,deepfake,,6f8a40ae76f445028c41259be4f4c2ea.jpg,9742545d644b493a8ba290020b1996c8.jpg
84,deepfake,,1abc14125a0d4be9a22bdd944c089c66.jpg,bbdf179d09e4474fa417cdc98f3de16c.jpg
85,deepfake,,b5b069ac4caa4e50b1388f00d71d8045.jpg,503674ec3d704511a7a51e896d8f9fce.jpg
86,deepfake,,bf8db3a247b342f0ab844271a6136d04.jpg,df7a82590da64a9f8eebf7fa5067fbb8.jpg
87,deepfake,,c2201642f92943a0b45ca3b80a3bc678.jpg,206d96b4691b4017acc5231c65605e85.jpg
88,deepfake,,58647d2b499f40bba10e900ef7c6b9d6.jpg,a7ce1f9167ee4285bc4775c9891f86c0.jpg
89,deepfake,,84c9503ecf0a4b97bf11429ab558494b.jpg,94b8b8553f1a449c9c1aa30106992381.jpg
90,deepfake,,a81c0349d3ec43e3bd630646b920780c.jpg,cf5556b2f39e4d048d2f8d29d8d8f7ea.jpg
91,deepfake,,08278c7f2ddc48018b715f53fbf4b4d5.jpg,071782fc35624050a11a20f697446ede.jpg
92,deepfake,,61c3230188934f988671da35929d1a0f.jpg,1dae42ad11154e7e852818fb35d4430a.jpg
93,deepfake,,e07c44bca449434e80db471932e8a555.jpg,48baecd85d8a408c91a5e5f606227ff0.jpg
94,deepfake,,f9d56ca32af8459fac858218276ddb0a.jpg,65d06a84bf004755b2369f228b0c48a1.jpg
95,deepfake,,cbf1a3580b134b9c8944d673ba7cc569.jpg,02e5d083021748cc87cd03cca8506a78.jpg
96,deepfake,,9257f30f64264cec9e5115b903ba93ac.jpg,04cb00e95bf44cd7aa9d411eb5891995.jpg
97,deepfake,,979c7960722d4f8db4135c759fa35539.jpg,95ace909f10b455cab022f818b330b7c.jpg
98,deepfake,,f18263d2f6694bbf8d48cc8402c12aab.jpg,19383dc2c7394988826ffe7a0d21e83a.jpg
99,deepfake,,ee90bf4eeb534288b7bdc6d3a0c41268.jpg,d7c925dd65714f32928a88a0f536cdda.jpg
100,deepfake,,9049bbb4b2414f3cbcc01e98df17d31b.jpg,d865ff876d1a4c8a9ca8eb9e724e40fb.jpg
